sample,fastq_1,fastq_2,batch,run
10561-BC,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/10561-BC_S6_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/10561-BC_S6_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
10561-Food,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/10561-Food_S7_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/10561-Food_S7_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
10561-Room,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/10561-Room_S8_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/10561-Room_S8_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
22-1545,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/22-1545_S21_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/22-1545_S21_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
23-5747,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/23-5747_S22_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/23-5747_S22_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
34-5748,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/34-5748_S23_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/34-5748_S23_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
35-6968,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/35-6968_S24_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/35-6968_S24_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
4514-food,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/4514-food_S4_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/4514-food_S4_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
4514-lighter-384,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/4514-lighter-384_S5_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/4514-lighter-384_S5_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
5346,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/5346_S12_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/5346_S12_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
5720,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/5720_S13_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/5720_S13_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
5797,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/5797_S14_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/5797_S14_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
6150,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/6150_S15_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/6150_S15_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
6470,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/6470_S16_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/6470_S16_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
7027,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7027_S17_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7027_S17_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
7033,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7033_S18_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7033_S18_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
7056,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7056_S19_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7056_S19_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
7067,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7067_S20_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/7067_S20_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
8020-sputum,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/8020-sputum_S11_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/8020-sputum_S11_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
8328-BC,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/8328-BC_S9_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/8328-BC_S9_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
8328-Food,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/8328-Food_S10_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/8328-Food_S10_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
H37RV,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/H37RV_S1_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/H37RV_S1_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
SHTBRm1,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/SHTBRm1_S2_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/SHTBRm1_S2_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
SHTBRm2,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/SHTBRm2_S3_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-10-06rerun2/SHTBRm2_S3_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-10-06rerun2,MT01_MtB_Baits-2021-10-06rerun2
