sample,fastq_1,fastq_2,batch,run
1208,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/1208_S16_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/1208_S16_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
1289,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/1289_S23_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/1289_S23_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
1874,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/1874_S6_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/1874_S6_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
2017,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/2017_S4_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/2017_S4_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
209,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/209_S2_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/209_S2_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
2276,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/2276_S12_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/2276_S12_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
2882,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/2882_S20_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/2882_S20_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
3871,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/3871_S11_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/3871_S11_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
4147,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4147_S13_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4147_S13_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
4333,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4333_S22_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4333_S22_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
4787,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4787_S15_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4787_S15_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
4841,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4841_S19_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/4841_S19_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
5486,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/5486_S14_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/5486_S14_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
5506,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/5506_S18_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT03_MTB_2021-11-24/5506_S18_L001_R2_001.fastq.gz,MT03_MTB_2021-11-24,MT03_MTB_2021-11-24
