sample,fastq_1,fastq_2,batch,run
10561-7352-culture,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/10561-7352-culture_S24_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/10561-7352-culture_S24_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
1850,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/1850_S15_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/1850_S15_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
24-CR252,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/24-CR252_S19_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/24-CR252_S19_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
25-1915,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/25-1915_S16_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/25-1915_S16_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
33-1691,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/33-1691_S20_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/33-1691_S20_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
4514-3-7349-culture,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/4514-3-7349-culture_S23_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/4514-3-7349-culture_S23_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
45-1639,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/45-1639_S21_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/45-1639_S21_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
92762-6909,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/92762-6909_S6_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/92762-6909_S6_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
92766-6891,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/92766-6891_S5_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/92766-6891_S5_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
92772-6892,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/92772-6892_S8_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT04_A10-12_MTB_2021-12-10/92772-6892_S8_L001_R2_001.fastq.gz,MT04_A10-12_MTB_2021-12-10,MT04_A10-12_MTB_2021-12-10
