sample,fastq_1,fastq_2,batch,run
11080-7651-envculture,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/11080-7651-envculture_S17_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/11080-7651-envculture_S17_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
1169,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/1169_S6_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/1169_S6_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
19524-L386,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/19524-L386_S2_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/19524-L386_S2_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
2566-L386,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/2566-L386_S1_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/2566-L386_S1_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
5377-2,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5377-2_S10_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5377-2_S10_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
5710,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5710_S24_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5710_S24_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
5908,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5908_S15_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5908_S15_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
5940,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5940_S16_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5940_S16_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
5973,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5973_S13_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5973_S13_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
5987,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5987_S14_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/5987_S14_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
6045,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6045_S19_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6045_S19_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
6057,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6057_S12_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6057_S12_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
6100,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6100_S20_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6100_S20_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
6117,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6117_S18_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6117_S18_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
6692-2,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6692-2_S9_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/6692-2_S9_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
86276-5376,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/86276-5376_S23_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/86276-5376_S23_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
CI939088AVB,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/CI939088AVB_S11_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/CI939088AVB_S11_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
CR868LIZLUGO,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/CR868LIZLUGO_S21_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/CR868LIZLUGO_S21_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
CR950,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/CR950_S22_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/CR950_S22_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
L2439,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L2439_S7_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L2439_S7_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
L3146,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L3146_S5_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L3146_S5_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
L4565,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L4565_S8_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L4565_S8_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
L4571,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L4571_S3_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L4571_S3_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
L5515,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L5515_S4_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT06-2022-03-04_withEnvCult/L5515_S4_L001_R2_001.fastq.gz,MT06-2022-03-04_withEnvCult,MT06-2022-03-04_withEnvCult
