sample,fastq_1,fastq_2,batch,run
10561-Food,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/10561-Food_S7_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/10561-Food_S7_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
22-1545,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/22-1545_S21_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/22-1545_S21_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
23-5747,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/23-5747_S22_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/23-5747_S22_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
34-5748,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/34-5748_S23_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/34-5748_S23_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
35-6968,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/35-6968_S24_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/35-6968_S24_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
4514-food,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/4514-food_S4_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/4514-food_S4_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
4514-lighter-384,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/4514-lighter-384_S5_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/4514-lighter-384_S5_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
5346,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/5346_S12_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/5346_S12_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
5720,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/5720_S13_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/5720_S13_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
5797,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/5797_S14_L001_R1_001.fastq.gz,/labs/jandr/walter/tb/data/MT01_MtB_Baits-2021-09-17/5797_S14_L001_R2_001.fastq.gz,MT01_MtB_Baits-2021-09-17,MT01_MtB_Baits-2021-09-17
