sample,fastq_1,fastq_2,batch,run
CDC1551_clean_1,/labs/jandr/walter/varcal/single/CDC1551_clean_1/data/CDC1551_clean_1_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_1/data/CDC1551_clean_1_2.fq.gz,perform,perform
CDC1551_clean_2,/labs/jandr/walter/varcal/single/CDC1551_clean_2/data/CDC1551_clean_2_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_2/data/CDC1551_clean_2_2.fq.gz,perform,perform
CDC1551_clean_3,/labs/jandr/walter/varcal/single/CDC1551_clean_3/data/CDC1551_clean_3_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_3/data/CDC1551_clean_3_2.fq.gz,perform,perform
CDC1551_clean_4,/labs/jandr/walter/varcal/single/CDC1551_clean_4/data/CDC1551_clean_4_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_4/data/CDC1551_clean_4_2.fq.gz,perform,perform
CDC1551_clean_5,/labs/jandr/walter/varcal/single/CDC1551_clean_5/data/CDC1551_clean_5_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_5/data/CDC1551_clean_5_2.fq.gz,perform,perform
CDC1551_clean_6,/labs/jandr/walter/varcal/single/CDC1551_clean_6/data/CDC1551_clean_6_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_6/data/CDC1551_clean_6_2.fq.gz,perform,perform
CDC1551_clean_7,/labs/jandr/walter/varcal/single/CDC1551_clean_7/data/CDC1551_clean_7_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_7/data/CDC1551_clean_7_2.fq.gz,perform,perform
CDC1551_clean_8,/labs/jandr/walter/varcal/single/CDC1551_clean_8/data/CDC1551_clean_8_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_8/data/CDC1551_clean_8_2.fq.gz,perform,perform
CDC1551_clean_9,/labs/jandr/walter/varcal/single/CDC1551_clean_9/data/CDC1551_clean_9_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_9/data/CDC1551_clean_9_2.fq.gz,perform,perform
CDC1551_clean_10,/labs/jandr/walter/varcal/single/CDC1551_clean_10/data/CDC1551_clean_10_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_10/data/CDC1551_clean_10_2.fq.gz,perform,perform
CDC1551_clean_11,/labs/jandr/walter/varcal/single/CDC1551_clean_11/data/CDC1551_clean_11_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_11/data/CDC1551_clean_11_2.fq.gz,perform,perform
CDC1551_clean_12,/labs/jandr/walter/varcal/single/CDC1551_clean_12/data/CDC1551_clean_12_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_12/data/CDC1551_clean_12_2.fq.gz,perform,perform
CDC1551_clean_13,/labs/jandr/walter/varcal/single/CDC1551_clean_13/data/CDC1551_clean_13_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_13/data/CDC1551_clean_13_2.fq.gz,perform,perform
CDC1551_clean_14,/labs/jandr/walter/varcal/single/CDC1551_clean_14/data/CDC1551_clean_14_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_14/data/CDC1551_clean_14_2.fq.gz,perform,perform
CDC1551_clean_15,/labs/jandr/walter/varcal/single/CDC1551_clean_15/data/CDC1551_clean_15_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_15/data/CDC1551_clean_15_2.fq.gz,perform,perform
CDC1551_clean_16,/labs/jandr/walter/varcal/single/CDC1551_clean_16/data/CDC1551_clean_16_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_16/data/CDC1551_clean_16_2.fq.gz,perform,perform
CDC1551_clean_17,/labs/jandr/walter/varcal/single/CDC1551_clean_17/data/CDC1551_clean_17_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_17/data/CDC1551_clean_17_2.fq.gz,perform,perform
CDC1551_clean_18,/labs/jandr/walter/varcal/single/CDC1551_clean_18/data/CDC1551_clean_18_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_18/data/CDC1551_clean_18_2.fq.gz,perform,perform
CDC1551_clean_19,/labs/jandr/walter/varcal/single/CDC1551_clean_19/data/CDC1551_clean_19_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_19/data/CDC1551_clean_19_2.fq.gz,perform,perform
CDC1551_clean_20,/labs/jandr/walter/varcal/single/CDC1551_clean_20/data/CDC1551_clean_20_1.fq.gz,/labs/jandr/walter/varcal/single/CDC1551_clean_20/data/CDC1551_clean_20_2.fq.gz,perform,perform
