sample,fastq_1,fastq_2,batch,run
F-14-C0-67,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-C0-67_S203_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-C0-67_S203_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co--21,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co--21_S204_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co--21_S204_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-25,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-25_S277_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-25_S277_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-42,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-42_S207_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-42_S207_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-47,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-47_S210_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-47_S210_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-49-A,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-49-A_S278_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-49-A_S278_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-6,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-6_S208_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-6_S208_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-7,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-7_S209_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-7_S209_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-82,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-82_S279_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-82_S279_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-97,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-97_S244_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-97_S244_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-Co-9,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-9_S206_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-Co-9_S206_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-PP-41,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-PP-41_S200_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-PP-41_S200_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
F-14-PP-47,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-PP-47_S201_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/F-14-PP-47_S201_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
