sample,fastq_1,fastq_2,batch,run
T1-130-2011-469,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-130-2011-469_S23_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-130-2011-469_S23_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-131-2010-402,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-131-2010-402_S27_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-131-2010-402_S27_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-133-2010-485,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-133-2010-485_S13_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-133-2010-485_S13_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-135-2011-562,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-135-2011-562_S80_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-135-2011-562_S80_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-137-2011-575,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-137-2011-575_S15_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-137-2011-575_S15_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-143-2011-605,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-143-2011-605_S108_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-143-2011-605_S108_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-146-2011-606,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-146-2011-606_S59_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-146-2011-606_S59_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-147-2011-610,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-147-2011-610_S24_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-147-2011-610_S24_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-148-2011-625,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-148-2011-625_S47_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-148-2011-625_S47_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
T1-150-2011-644,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-150-2011-644_S11_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1018/Batch_2018-01-11/T1-150-2011-644_S11_R2_001.fastq.gz,IS-1018,Batch_2018-01-11
